id_bien,no_voie,type_voie,voie,b_t_q,type_bien,nb_piece,surface,id_commune
15702,19,RUE,DESCOMBES,,Appartement,1,19,75117
15703,67,RUE,NOLLET,,Appartement,1,14,75117
15704,103,RUE,LEMERCIER,,Appartement,2,33,75117
15705,21,RUE,BOUCRY,,Appartement,2,43,75118
15706,58,RUE,OLIVIER METRA,,Appartement,3,78,75120
15707,305,RUE,DES PYRENEES,,Appartement,2,41,75120
15708,7,RUE,DE BEAUCHENE,,Appartement,3,89,76329
15709,3,RUE,ALBERT CAMUS,,Appartement,2,49,77053
15710,2,ALL,DES CHARMILLES,,Appartement,4,84,77083
15711,2,SQ,DES AULNES,,Appartement,4,80,77108
15712,66,RUE,SOMMEVILLE,,Appartement,3,64,77122
15713,60,RUE,DU MOULIN A VENT,,Appartement,2,36,77268
15714,2,CRS,DU BUISSON,,Appartement,3,60,77337
15715,7,CITE,LES CHATAIGNIERS,,Appartement,3,55,77514
15716,123,RUE,DE LA REINE BLANCHE,,Appartement,3,62,78123
15717,36,RUE,DU MOULIN,,Appartement,1,25,78124
15718,1,ALL,D ANJOU,,Appartement,3,56,78126
15719,34,RUE,DU PRIEURE,,Appartement,3,49,78358
15720,7,AV,DE SAINT GERMAIN,,Appartement,2,46,78490
15721,1,PASS,DE NOAILLES,,Appartement,3,69,78498
15722,1,RUE,DE LA FONTAINE ST MARTIN,,Appartement,5,99,78502
15723,26,PROM,MAXIME GORKI,,Appartement,4,70,78586
15724,8,ALL,AIME CESAIRE,,Appartement,4,83,78621
15725,5,RUE,CHAMP LAGARDE,,Appartement,5,115,78646
15726,47,AV,DE LORRAINE,,Appartement,3,81,78650
15727,3,RUE,CARNOT,,Appartement,1,17,78686
15728,81,AV,DE LA GRANDE ILE,,Appartement,2,45,78688
15729,3,RUE,CHATEAUBRIAND,,Appartement,4,84,80021
15730,10,RUE,ERIK SATIE,,Appartement,2,47,82037
15731,67,AV,DE LA MER,,Appartement,3,59,83019
15732,430,AV,VICTOR HUGO,,Appartement,4,94,83061
15733,,,L OLIVINE,,Appartement,2,32,83062
15734,29,AV,AMBROISE THOMAS,,Appartement,1,27,83069
15735,1970,AV,DU CAP NEGRE,,Appartement,2,28,83070
15736,9200,CHE,DES MARGUERITES,A,Appartement,2,38,83070
15737,1,RUE,HOCHE,,Appartement,2,19,83090
15738,71,BD,JACQUES BAUDINO,,Appartement,3,70,83118
15739,293,AV,DU DOCTEUR SCHWEITZER,,Appartement,3,58,83144
15740,6,RUE,DE LA FIGURE,B,Appartement,4,104,85018
15741,9002,AV,VALENTIN,,Appartement,3,56,85234
15742,2,CHE,D OYSONVILLE,,Appartement,3,64,91200
15743,24,RUE,DES BOURGUIGNONS,,Appartement,2,42,91425
15744,49,RUE,DE LA CORNICHE,,Appartement,1,14,91471
15745,17,RUE,DU PETIT CHATEAU,,Appartement,1,20,91525
15746,9,RUE,VIVALDI,,Appartement,4,81,91573
15747,62,,LES HAMEAUX DE SEINE,,Maison,5,118,91577
15748,6,RUE,D ALSACE,,Appartement,2,51,92004
15749,18,RUE,GUYNEMER,,Appartement,1,22,92019
15750,41,AV,DE LA DIVISION LECLERC,T,Appartement,3,65,92020
15751,71,RTE,DU PAVE BLANC,,Appartement,4,80,92023
15752,7,AV,ANATOLE FRANCE,,Appartement,1,42,92024
15753,34,AV,GENEVIEVE BAIN,,Appartement,2,50,92025
15754,25,RUE,LEONIE CARON,,Appartement,2,23,92036
15755,12,ALL,DES CITEAUX,,Appartement,2,32,92040
15756,23,AV,ANDRE MALRAUX,,Appartement,3,70,92044
15757,13,BD,DU COL FABIEN,,Appartement,1,20,92046
15758,6,RUE,DE LA SOURCE,,Appartement,3,40,92050
15759,5,RUE,RIGAUD,,Appartement,5,130,92051
15760,122,RUE,PERRONET,,Appartement,1,40,92051
15761,2,RUE,DE FONTENAY,,Appartement,1,22,92060
15762,6,IMP,ST SULPICE,,Appartement,1,18,92063
15763,2,RUE,DES COUDRAIS,,Appartement,1,23,92071
15764,132,RUE,HOCHE,,Appartement,5,104,93048
15765,104,RUE,DU GEN LECLERC,,Appartement,2,39,93064
15766,4,RUE,DENFERT ROCHEREAU,,Appartement,3,80,93066
15767,16,VLA,DE L INDUSTRIE,E,Maison,5,100,93070
15768,30,RUE,LOUIS ESCHARD,,Appartement,2,49,93073
15769,14,AV,OUTREBON,,Appartement,3,54,93077
15770,89,RUE,VERON,,Appartement,2,31,94002
15771,58,RUE,GABRIEL PERI,,Appartement,4,89,94016
15772,12,VLA,ST PIERRE,,Appartement,3,63,94018
15773,86,AV,DE STALINGRAD,,Appartement,3,63,94033
15774,140,AV,JEAN JAURES,,Appartement,3,42,94041
15775,108,BD,DE STRASBOURG,B,Appartement,6,86,94052
15776,11,AV,DU BOIS GUIMIER,,Appartement,2,49,94068
15777,3,RUE,LEON GODIN,,Appartement,1,22,95052
15778,1,RUE,BASSE DE LA VALLEE,,Appartement,2,44,95052
15779,61,GR,GRANDE RUE,,Appartement,2,49,95060
15780,42,AV,DES GENOTTES,,Appartement,1,18,95127
15781,33,CHS,JULES CESAR,,Appartement,3,56,95252
15782,13,RUE,DE PARIS,,Appartement,3,52,95426
15783,94,AV,CHARLES DE GAULLE,,Appartement,1,62,95428
15784,55,AV,DE DOMONT,,Appartement,2,37,95428
15785,1,AV,MAURICE BERTEAUX,,Appartement,3,71,95428
15786,120,CHE,DU MARTINET,B,Appartement,3,67,01071
15787,5,AV,DES THERMES,B,Appartement,1,23,04070
15788,54,AV,DE LA BORNALA,,Appartement,1,20,06088
15789,640,RTE,DEPARTEMENTALE 6085,,Maison,3,44,06130
15790,175,RUE,PAUL DERIGON,,Appartement,1,37,06155
15791,18,RUE,DES FAUSSES BRAIES,,Appartement,4,178,08409
15792,6,RUE,THIERS,,Appartement,5,150,08409
15793,4,BD,DOCTEUR FERROUL,,Appartement,3,76,11262
15794,387,BD,ESCHASSERIAUX,,Appartement,2,35,11266
15795,10,RUE,DU GD PRE,,Appartement,2,35,14338
15796,56,RUE,G LE CONQUERANT,,Appartement,2,54,14715
15797,9006,VC,RES SUPER DEAUVILLE,,Appartement,2,24,14754
15798,45,RUE,LOUIS MIE,,Appartement,2,42,19031
15799,2,ALL,DES PERRIERES DE BESNAULT,,Appartement,4,105,22282
15800,14,RUE,CANDILLAC,,Appartement,3,90,24037
15801,18,RUE,DES ECUYERS,,Appartement,2,40,28085
15802,25,RUE,SAINT THIBAULT,,Appartement,3,80,28134
15803,10,ALL,DE FRANCS,,Appartement,2,45,33039
15804,18,RUE,DU PUITS DESCAZEAUX,,Appartement,1,50,33063
15805,24,RUE,RACINE,,Appartement,1,22,33096
15806,24,RUE,RACINE,,Appartement,1,22,33096
15807,1,BD,DE LA PLAGE,,Appartement,2,31,33214
15808,9002,RES,BLEU MARINE,,Appartement,2,24,33214
15809,59,BD,DE LA PLAGE CAP FERRET,,Appartement,1,16,33236
15810,11,PL,DU VERT BUISSON,,Appartement,3,64,35047
15811,7,RUE,LOUIS JOUVET,,Appartement,3,45,38547
15812,18,BD,DE LA MADELEINE,,Appartement,4,73,42147
15813,12,RUE,BROSSARD,,Appartement,3,75,42218
15814,159,RUE,GUSTAVE FLAUBERT,,Maison,6,145,45234
15815,8,RUE,OLYMPE DE GOUGES,,Appartement,2,45,45285
15816,49,RUE,DES HUGUENOTS,,Appartement,3,50,51230
15817,3,RUE,DU BLOC,,Appartement,1,23,62041
15818,27,AV,FOUCHET,,Appartement,3,76,64445
15819,27,RUE,DE ST CYR,,Appartement,1,33,69389
15820,3,BD,DU COLLEGE,,Appartement,4,109,71342
15821,31,BD,SAINT MARTIN,B,Appartement,5,180,75103
15822,16,RUE,DU PARC ROYAL,,Appartement,4,110,75103
15823,98,RUE,MONGE,,Appartement,3,50,75105
15824,72,RUE,GAY LUSSAC,,Appartement,1,22,75105
15825,17,AV,DE LA BOURDONNAIS,,Appartement,5,127,75107
15826,1,RUE,BLEUE,B,Appartement,4,75,75109
15827,26,RUE,DE ROCHECHOUART,,Appartement,1,10,75109
15828,10,RUE,MAZAGRAN,,Appartement,2,47,75110
15829,25,RUE,SAINT MAUR,,Appartement,1,17,75111
15830,9,RUE,FRANQUET,,Appartement,4,104,75115
15831,4,RUE,MATHURIN REGNIER,,Appartement,2,35,75115
15832,4,,VIL DU MONT TONNERRE,,Appartement,1,26,75115
15833,29,RUE,D AVRON,,Appartement,2,30,75120
15834,6,SQ,DES BOULEAUX,,Appartement,4,87,77083
15835,8,RUE,RENE SALLE,,Appartement,1,31,77108
15836,58,RUE,DU GENERAL LECLERC,,Appartement,1,35,77284
15837,2,BD,ISAAC PEREIRE,B,Appartement,1,21,77470
15838,18,RTE,DE CORMEILLES,,Appartement,3,52,78586
15839,17,RUE,GRANGE DAME ROSE,,Appartement,3,70,78640
15840,7,RUE,DES ECOLES,,Appartement,3,56,78640
15841,38,RUE,VICTOR CHABOT,,Appartement,2,49,87085
15842,2,RUE,DE MOSCOU,,Appartement,4,74,91377
15843,21,RUE,DES ROSSAYS,B,Appartement,3,57,91589
15844,43,RUE,GALLIENI,,Appartement,2,38,92004
15845,67,RUE,CHAPTAL,,Appartement,1,10,92044
15846,128,BD,MAURICE BARRES,,Appartement,4,126,92051
15847,14,RUE,FRANCOIS JACOB,,Appartement,3,68,92063
15848,53,BD,FOCH,,Appartement,5,82,93031
15849,81,RUE,DU GAL LECLERC,,Appartement,2,25,93032
15850,2,BD,DU BEL AIR,,Appartement,4,108,93033
15851,151,RUE,DU GEN LECLERC,,Appartement,3,65,93064
15852,17,RUE,DEZOBRY,B,Appartement,2,39,93066
15853,6,AV,PABLO PICASSO,,Appartement,3,79,93078
15854,14,RUE,DU PRESIDENT KENNEDY,,Appartement,2,40,94018
15855,2,AV,MAURICE RAVEL,,Appartement,2,44,94019
15856,13,RUE,GAMBETTA,,Appartement,2,22,94043
15857,28,RUE,EUGENE RENAULT,,Appartement,3,65,94046
15858,19,AV,DU GENERAL LECLERC,,Appartement,1,19,95176
15859,10,RUE,DES ECOLES,,Appartement,5,109,95598
15860,139,RUE,DE PARIS,,Appartement,1,33,95607
15861,1,VLA,DU DAUPHINE,,Appartement,3,56,95607
15862,5208,,LE BULOZ,,Appartement,3,35,01187
15863,9,RUE,DE LA FLAUDIERE,,Appartement,3,74,01199
15864,1,AV,DES FRERES OLIVIER,,Appartement,4,68,06004
15865,13,AV,MONT JOLI,,Appartement,3,80,06030
15866,5501,,CHASTILLON,,Appartement,2,49,06073
15867,129,CHE,DES ORTAS,,Maison,3,89,06104
15868,242,MAIS,DE LA PLAGE   (PLAGE),,Appartement,3,31,11262
15869,126,RUE,AUGUSTIN AUBERT,,Appartement,4,92,13209
15870,5334,RUE,DES NOVETS,,Appartement,2,37,14699
15871,1,CHE,DES PRISES DE GIRAUD,,Appartement,3,63,16166
15872,22,CRS,DES DAMES,,Appartement,3,61,17300
15873,186,RUE,JACQUES BABY,,Appartement,3,58,30189
15874,3,RUE,DU PUITS DE LA CALADE,,Appartement,3,108,30202
15875,8,RUE,TAFFARD,,Appartement,2,48,33009
